gene_names	pvalue	corr_coef	fdr	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
RUNX3_TSS17491,TSS24352	0.000885585045419038	-0.230472644593538	0.0240813184531447	209	209	209	5.89573	7.05907014354067
RSRP1_TSS22114	0.00153072413741416	-0.219946605086076	0.0356346445140649	209	209	209	45.9675	46.8188086124402
PAQR7_TSS5120	0.00157147912067941	-0.219428937031568	0.0362205390475079	192	161	2	0.197526	0.22234618277512
AIM1L_TSS7696	0.000293731480258698	-0.250376393484562	0.0103132834710063	201	113	5	0.121859	0.210270656937799
ZNF683_TSS31649	2.08990905377954e-05	-0.292451390192463	0.00136974782881176	202	196	146	2.02632	3.59122206124402
ZDHHC18_TSS27899	0.000338920305671476	-0.247885894689508	0.0115201355495593	209	209	209	13.4605	13.9477693301435
SLC9A1_TSS20166	0.000181293102963076	0.258594607731511	0.00704260335081942	209	209	209	21.6485	21.91691784689
AHDC1_TSS7692	0.00042700742370671	-0.243810677425357	0.0137564729743506	206	202	11	0.425092	0.479685256363636
SNHG3_TSS5169	0.0015612619450718	-0.219557552291139	0.0361153091203441	209	208	203	4.07312	4.2354787569378
LCK_TSS12239,TSS13245	1.50673040215157e-09	-0.40624572122795	2.96257967764586e-06	209	209	202	6.49815	10.9743441435407
MARCKSL1_TSS5912	9.87284970540751e-05	-0.26857624871848	0.00451448857459609	203	202	154	1.46816	1.8643026861244
S100PBP_TSS1641,TSS31668	0.0013008521208511	-0.223126658486985	0.0318952378839864	209	209	206	3.38414	3.4739688277512
AZIN2_TSS23747,TSS27906,TSS36322	3.70623816656783e-05	-0.283893100186677	0.00212887986012675	193	176	17	0.387552	0.461749266507177
POU3F1_TSS19213	0.000120718906982206	-0.265316790707816	0.00522999318876638	162	61	2	0.0362766	0.0983867718660287
MYCL_TSS16690	0.00101262145807437	-0.227937917639214	0.026755518855496	197	182	20	0.410067	0.56841519138756
RIMS3_TSS9319	1.83474652689008e-06	-0.326051481578711	0.000215921874539889	203	169	6	0.209124	0.28015598645933
HIVEP3_TSS15020,TSS31880,TSS9512	0.000263203638504284	-0.252269362291245	0.00943583198290041	208	208	173	1.60145	1.69026039712919
SLC2A1_TSS35301	3.52208923301627e-06	-0.31743895350849	0.000351519831150217	207	204	127	1.2311	1.51349179894737
PTPRF_TSS26558	0.00100636029028242	-0.228055803336901	0.0266842068256317	205	159	12	0.199761	0.38055002
ZSWIM5_TSS10582	1.07144709027238e-06	-0.332961522542063	0.000139021619667271	168	52	1	0.0360752	0.0876857988995215
LRP8_TSS2911	6.81452579856587e-05	-0.274478838509745	0.00344922958291371	208	207	93	0.957771	1.08099998133971
TTC22_TSS808	0.000127916209215775	-0.264370333073634	0.00548601715396715	173	107	6	0.111503	0.207282880861244
HOOK1_TSS32903	0.000826938150714285	-0.231757784204714	0.0230810734048362	179	56	1	0.0564813	0.0949278120574163
FGGY_TSS12367,TSS25764,TSS26051,TSS28269	0.000112993751187752	-0.266393324755052	0.00499362523456193	205	203	200	2.14813	2.29336699473684
JUN_TSS25345	0.00215630205642413	0.213101925358663	0.0449203234427523	209	209	209	65.5434	91.584666507177
PGM1_TSS16620,TSS1995,TSS32781	0.000365436786483684	0.246564649086631	0.0122423718208512	209	209	209	23.6662	23.7354443062201
IL23R_TSS32594	7.27812737521318e-08	-0.365209205937955	2.48048285117099e-05	164	106	10	0.101894	0.237982161483254
IL12RB2_TSS14387	1.01882492250537e-07	-0.361366673645018	2.95933907319997e-05	202	182	60	0.427339	0.851976265645933
PDE4B_TSS15460,TSS15932,TSS27165,TSS28364,TSS3070,TSS891	4.35874782434712e-07	-0.344152755710559	7.14192007295749e-05	209	209	209	7.59199	8.94947110047847
LPAR3_TSS31752	0.00018460626715033	0.258291021120048	0.00714957696155999	204	201	146	1.77051	2.30095476937799
MCOLN2_TSS20328	0.000370824580098801	-0.246307109397045	0.0123580796504634	207	206	172	1.98249	2.22799292057416
GBP1_TSS6562	4.236350775295e-05	-0.281855502614464	0.00234655720973783	209	209	209	54.829	59.5861703349282
GBP7_TSS2315	0.000925763820009541	-0.229636669143485	0.0250142167053529	208	203	114	1.03108	1.23377242200957
GBP2_TSS11474	0.00161197592713167	-0.21892656164702	0.0369234977958136	209	209	209	30.6336	31.0465325358852
GBP1P1_TSS9429	1.54191277465637e-05	-0.296884932807407	0.00107391913986353	209	207	118	1.12295	1.43654593397129
GBP5_TSS22297	4.83733396270145e-08	-0.369809323359468	2.09835077021551e-05	209	209	209	22.3408	27.0769605741627
CDC7_TSS23229,TSS2525	0.002308077154067	-0.211718224214339	0.0472358789404064	206	202	40	0.682793	0.710527988995215
TGFBR3_TSS18765,TSS27510	6.76330983021592e-06	-0.308546332745048	0.000578183821304847	203	159	9	0.210875	0.335963830382775
GFI1_TSS13114,TSS14018,TSS17395	4.98478108474187e-07	-0.3425104282008	7.91403660292466e-05	203	199	90	0.875283	1.49110776315789
BCAR3_TSS20817,TSS25925,TSS30848,TSS6545,TSS8550	0.000259406186752939	0.252518969639968	0.00932585307959475	209	209	209	15.3034	15.3320407655502
TMEM56_TSS28841,TSS30872	0.000776667877633505	0.232928011401	0.0219849475306645	207	196	56	0.669077	0.853043556937799
CDC14A_TSS9031	0.000874487161787572	-0.230709701852101	0.0238811606222779	208	207	172	1.6327	1.84768783205742
VCAM1_TSS33181	1.62893171765283e-05	-0.296089914236091	0.00111627677305426	182	143	29	0.225804	0.43603979138756
LOC102606465_TSS14372	0.00233182683927582	-0.21150923313461	0.0476138582969137	199	193	30	0.527133	0.594979502392345
S1PR1_TSS31737	0.000387694120605171	-0.245522609909496	0.0127704245061711	204	198	78	0.762361	1.30523026363636
KIAA1324_TSS13396,TSS30048	0.000636114461388087	-0.236614994631501	0.0186390776165902	205	184	8	0.251659	0.340890025550239
KCNA2_TSS22796,TSS2982	1.22306473464233e-06	-0.331276921892792	0.000152501256986305	199	185	27	0.413888	0.527230886124402
ADORA3_TSS29272	0.00142756869799122	-0.221315461016633	0.0340075335408702	201	195	91	0.870591	1.10432421781435
FAM212B_TSS23351,TSS35432	0.000722802594265998	0.234262074594403	0.0206893136752891	209	209	207	3.45787	3.45379391866029
OLFML3_TSS7201	0.000601129465395546	-0.23764945088212	0.0179503157301116	167	120	12	0.123717	0.316471566507177
AP4B1-AS1_TSS16320,TSS35714	0.0020000139769108	-0.214622678274633	0.0428878836105847	204	187	35	0.545407	0.658325534916589
BCL2L15_TSS4417	0.00179693273015187	-0.216769358584226	0.039871004787684	169	32	0	0.0334999	0.0508925280382775
TSPAN2_TSS12295	0.000134468550104922	-0.263551053974581	0.00568124067641638	200	176	32	0.3971	0.524469988229665
CD2_TSS31220	5.23395650896103e-07	-0.341911170162669	8.20767867027932e-05	209	208	208	18.5153	25.8968502397129
FAM46C_TSS1048	2.02226922874974e-07	-0.3533747547391	4.23698555377641e-05	207	203	81	0.723954	1.12093063444976
CD101_TSS14169	0.00241232015328216	0.210815020040753	0.0488832803787287	209	209	209	33.6347	34.6685530143541
EMBP1_TSS21165	2.95638184244436e-06	-0.319777465613787	0.0003097052306341	195	101	2	0.0968409	0.147706047655502
MTMR11_TSS16108,TSS8568	0.000608970905205443	0.237412844451607	0.0181001143514045	208	208	207	4.68875	5.2355034784689
PLEKHO1_TSS19656,TSS20566,TSS8349	3.12484583036073e-05	-0.286471146884147	0.00184893945069098	209	209	209	20.9808	22.5116223923445
CIART_TSS14648,TSS20270	0.000770291754211333	-0.233081395527704	0.0218528607429477	134	80	0	0.0527482	0.106874482296651
RPRD2_TSS15644	0.0017855401918862	0.216896235950145	0.0398256482066345	209	209	209	6.18362	6.1956343062201
CTSK_TSS32163	0.000242299082413442	-0.253687360063203	0.00882251687403133	205	205	204	5.90238	7.94862558373206
MLLT11_TSS32840	0.0024756782095491	-0.210283238557416	0.0497664494980027	195	175	3	0.270448	0.297415359808612
ADAMTSL4_TSS21358	0.000657560789841173	0.236006537126539	0.0190487361952485	209	209	209	119.663	120.407426794258
THEM5_TSS27751	2.69678119477606e-05	-0.288677015651098	0.00166503439902587	171	136	22	0.216505	0.434278211004785
RORC_TSS17590,TSS30208	1.65870600879403e-09	-0.405293716666977	3.02844173505602e-06	203	189	79	0.691258	1.31739192822967
THEM4_TSS35153	0.000332360673811378	-0.248227536032732	0.0113575817958458	208	206	100	0.97274	1.05548260205742
C2CD4D_TSS12194	0.000217379936325112	-0.255534748952456	0.00813535659210275	123	47	1	0.0234088	0.074943866971852
LOC100132111_TSS3381	4.9745776431763e-05	-0.279385955532845	0.00263807425595912	152	129	32	0.173622	0.460789436832569
ATP8B2_TSS17424,TSS2604	2.90553481051117e-08	-0.375450588886055	1.54725781857242e-05	208	207	147	1.77171	3.02949454641148
SHE_TSS8364	0.00227705690492277	-0.211994158662714	0.0469007667580426	180	62	1	0.047601	0.0868520684210526
IL6R_TSS1917	0.00132327102745615	-0.222794778324996	0.0321216816076037	209	209	208	4.6504	4.96279679425837
TRIM46_TSS11562,TSS33792	6.01287618614524e-05	-0.276441366810709	0.00310495208472845	204	191	28	0.427888	0.612381230047847
THBS3_TSS29478	0.0024534362973102	-0.210468498106912	0.0494186644566951	209	208	207	2.77996	2.95550053545455
SLC25A44_TSS33710	0.000905586731119964	-0.230052216573203	0.0245990461574468	209	209	209	8.81132	8.93391492822967
LMNA_TSS14597,TSS23665,TSS32401	0.00181744617791343	0.216542741743992	0.0401172208580702	209	209	209	144.521	149.714246889952
SH2D2A_TSS15501,TSS20285	1.16173556105445e-07	-0.35985333308341	3.05315404447583e-05	204	202	154	1.75065	2.99199701722488
FCRL3_TSS20163	3.16486260885914e-05	-0.286279758650231	0.00186829222043992	186	114	9	0.127453	0.278101281339713
FCRL5_TSS10556	0.00206053510572684	-0.214021355733752	0.0437089940560032	159	53	2	0.027758	0.105999156315789
CD5L_TSS11670	4.17252616859732e-05	0.28208767928241	0.00232361528094806	209	209	207	6.71135	7.14850135406699
PYHIN1_TSS13031	1.84996246329313e-06	-0.325944050612606	0.000215921874539889	202	198	99	0.885633	1.41337003205742
AIM2_TSS3929	1.13815187522748e-06	-0.332194025213853	0.000144568022556003	205	204	178	2.04105	2.31595973444976
CADM3_TSS23803,TSS29208	0.0018115176190436	-0.216607995199177	0.0401011106316186	194	114	1	0.109286	0.16674011700055
FCRL6_TSS1525,TSS35367	0.00106247937982004	-0.227022383253995	0.0273494818001812	206	204	147	1.38423	1.78043263875598
SLAMF8_TSS1241	0.000158280947792737	-0.260858504550795	0.0064016128267882	209	209	209	33.1526	36.0622897607656
KCNJ10_TSS7001	0.000609064867064558	-0.23741002636208	0.0181001143514045	156	46	2	0.0318647	0.0781666841148325
SLAMF6_TSS3563	2.4189149127779e-06	-0.322433430235501	0.000258838414093012	208	208	197	2.78856	3.63012554066986
SLAMF1_TSS19229	1.22469204076696e-08	-0.384773052928631	8.46063601460655e-06	206	205	132	1.45628	2.25817467703349
CD48_TSS29749	2.9965613377903e-09	-0.399367574593445	4.25528357529211e-06	209	209	209	19.966	26.9365433014354
ITLN1_TSS17387	3.65624198383961e-05	-0.28409922665317	0.00210964337130754	195	188	78	0.721861	0.952976846411483
CD244_TSS25286	1.79006896351366e-05	-0.29471840514687	0.00120410402043086	203	200	90	0.839825	1.19234838373206
LY9_TSS34264	5.43636845612453e-07	-0.341444146820015	8.42175843072721e-05	207	202	131	1.42059	2.26430950574163
SLAMF7_TSS33865	2.85114414099404e-08	-0.375657665373683	1.54725781857242e-05	208	208	193	4.72702	7.22473119617225
CD84_TSS10719	3.67461222381291e-05	-0.28402318207586	0.00211546763632617	209	209	209	10.9982	12.0963051674641
F11R_TSS20484	0.000169823219461114	0.259687162802597	0.00671958407530267	209	209	209	29.3644	29.6993894736842
NCSTN_TSS25323	0.000226196602266253	0.254859561454669	0.00839159847681812	209	209	209	79.7539	79.0150937799043
PVRL4_TSS17869	0.00012945959665245	-0.264173878150683	0.00552343313449371	201	137	2	0.147953	0.195467274401914
HSPA7_TSS10980	0.00077215929628967	-0.233036349122182	0.0218815562887586	208	206	188	2.60873	3.76194343971292
FCGR2B_TSS1648	0.00201412169275344	-0.214481040821719	0.0430757460108026	209	208	205	4.74621	5.98402158229665
UCK2_TSS7806	0.000215997763850592	-0.255642903728657	0.00809548217270527	206	196	12	0.377638	0.451775816746411
