gene_names	pvalue	corr_coef	fdr	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
TRAF4_TSS12236	0.000273958411220753	0.251580213602316	0.00721179294460729	203	197	38	0.552169	0.719618607655502
RPL23A_TSS1408	0.00286744510804398	0.207245704959739	0.0361727072532623	209	209	209	85.2099	87.9310373205742
PHF12_TSS35012	0.00112263956627424	0.22596879367997	0.0191238476150497	209	209	209	7.24098	7.40625636363636
MYO18A_TSS18843	3.60412769030767e-06	0.317129952110452	0.000258778392954928	209	209	209	7.37893	7.70968263157895
TAOK1_TSS1671	0.00285180789077144	-0.207359516761394	0.0360997079712807	209	209	208	8.74868	8.81464292344498
SSH2_TSS15209,TSS20114,TSS33093	3.85338029119079e-05	-0.283301314206052	0.00168947261789242	209	209	209	14.5015	14.701784784689
LRRC37B_TSS3443	0.00021664637693871	0.25559206978403	0.00613255597002256	207	206	202	2.34867	2.50520203588517
SLFN12_TSS17184,TSS2644	0.0014639371242593	-0.220822824488543	0.0230416852421133	209	209	209	5.49033	5.4910209569378
SLFN12L_TSS15211	1.38073561778271e-05	0.298476670681843	0.000772275341928751	204	199	112	1.07289	1.80124513732057
PEX12_TSS14707	0.00114337359904194	-0.225617661595778	0.019367642521611	207	207	192	2.06564	2.03380698086124
HEATR9_TSS2322	0.00263615977083637	0.208989632459269	0.0342045075646438	119	52	1	0.0196418	0.0719945708133971
CCL5_TSS2622	3.36962041937163e-13	0.479783774242339	1.13760554235486e-09	209	208	208	17.3708	30.3898409818182
SLFN11_TSS26624	0.000833068682713622	-0.231619584543771	0.0156574033815021	209	209	209	68.0921	69.1047755980861
CCL3_TSS35007	0.00264666113134052	0.208907496910294	0.034253825406681	209	209	204	7.17485	13.0725089521531
CCL4L1_TSS27588	0.00150831668379543	0.220236616457367	0.0235516693674374	206	194	184	3.78056	6.03081005247808
CCL4L1_TSS33048	1.55366753744083e-05	0.296775095411881	0.000843169764851911	208	177	137	2.08633	3.45422206982176
CCL4_TSS4775	0.0003063697166349	0.249645837815828	0.00772299440523145	208	201	200	15.511	19.9867821033995
MLLT6_TSS15448	1.49786843686848e-05	0.297303656969263	0.000823376669135378	209	209	209	7.10136	7.83620688995215
LINC00672_TSS26469	0.001031999407511	0.227577265158012	0.0181174016863934	205	182	4	0.284914	0.333905639856459
PLXDC1_TSS22967	1.42663325565852e-07	0.357469421006887	1.82330863239437e-05	203	138	11	0.170586	0.307492113971292
CACNB1_TSS27554	0.000350160042864907	0.247314527584777	0.00851611879702177	207	204	76	0.857627	0.956579046889952
FBXL20_TSS34298	0.00430493109033735	-0.198619467968835	0.0466857630887199	209	208	197	1.78569	1.80155724784689
MIEN1_TSS9990	0.00223249841365072	-0.212396561774549	0.0307380519048954	209	209	209	38.2252	38.0184360287081
GSDMB_TSS2760,TSS32491	8.57888128021525e-05	0.270828943479095	0.00300405999195947	200	199	98	0.95786	1.27320793588517
ORMDL3_TSS13805	0.000155689361328045	0.26113245100011	0.00474323690692032	209	209	208	9.09375	9.8077208708134
IKZF3_TSS27733,TSS29524	2.68071452359514e-09	0.400492558315826	7.44801564539297e-07	209	207	138	1.4621	2.46949757607655
NR1D1_TSS32898	1.97231533828387e-05	0.29330139164969	0.00100862339795318	209	207	193	2.11642	2.687333415311
WIPF2_TSS19344	0.00446432667490312	-0.197830745858355	0.0478861326635328	209	209	209	8.36954	8.39038995215311
TNS4_TSS25566	0.000611330490189589	0.237342197436056	0.0127874129785074	153	37	1	0.0230902	0.0658929544497608
IGFBP4_TSS26658	0.000272003738886334	0.251703572182365	0.00718252848106775	200	192	72	0.624161	1.04436599090909
CCR7_TSS16699,TSS27658,TSS34202	0.000275269980789762	0.251497899166229	0.00723142443881511	206	204	120	1.11474	1.78260020909091
KCNH4_TSS32012	0.000212741680353906	0.255900263427291	0.00604855341580385	164	31	0	0.033711	0.0545793819138756
PSME3_TSS27585	0.00195800257699596	-0.215049917927647	0.028148764831605	209	209	209	26.5143	25.9935248803828
BRCA1_TSS1360,TSS2433,TSS35183,TSS7822	0.000958408788128686	-0.228981664380242	0.0171794439224105	209	209	204	2.24776	2.28043762200957
NBR1_TSS1074,TSS29688	0.00033108393293016	-0.248294759066111	0.00816876101315427	209	209	209	27.7226	27.8474281818182
MPP2_TSS31984,TSS33377,TSS6164,TSS6170	0.000297609627473365	-0.250149158131512	0.00757689211936919	158	12	0	0.0184862	0.0330260606220096
DUSP3_TSS13071	1.13481349561876e-05	-0.301281589088147	0.000665297425722732	209	209	209	38.1984	37.6443995215311
RUNDC3A-AS1_TSS6346	0.00470528134544385	0.196685254475647	0.0495965758642847	107	2	0	0.00512928	0.0128588513397129
MAP3K14_TSS25093	2.37235091685347e-07	0.351481565716938	2.74629280864241e-05	209	206	196	2.11648	2.41862681942584
TBKBP1_TSS31486	0.000251910080478139	0.253021835726958	0.00679227169525496	202	180	31	0.487494	0.579181208038278
TBX21_TSS15370	6.62104958101493e-08	0.366281113606811	9.72647404254727e-06	197	185	67	0.558601	0.994231443062201
OSBPL7_TSS26695	2.42116905124655e-06	0.322421158874222	0.000187537885208827	201	194	35	0.460844	0.656586159904306
SP2_TSS26778	2.91012849401137e-06	0.319987117094348	0.000216868205351092	208	208	208	6.39782	6.39896272727273
CBX1_TSS16461,TSS22856	0.00240927453808333	-0.210840901074617	0.0322595424138019	209	209	209	8.19966	8.13305799043062
SKAP1_TSS14198	5.73465579145084e-08	0.367901885591399	8.77745728654341e-06	208	207	187	2.98039	3.69845227559809
ABI3_TSS35681	0.000101397984862163	0.268146190556132	0.00341030775139705	209	209	208	9.26286	10.3244508086124
FAM117A_TSS22944	5.06987862969162e-09	0.393998852116425	1.27050164366223e-06	206	206	188	2.0216	2.64654305741627
SPOP_TSS6846	0.00297362790551763	-0.206487425103309	0.0369766518381332	209	209	209	12.4118	12.3769706698565
ANKRD40_TSS6590	0.000473040969525382	-0.241982742581648	0.0106569520875628	209	209	209	9.16434	9.10925727272727
SPAG9_TSS2331,TSS30331	0.00119844237584646	-0.224712674470285	0.0200874659468927	209	209	209	8.31441	8.35960081339713
HLF_TSS22427	7.73018726047972e-07	0.33707459518768	7.2643866384236e-05	195	131	13	0.154282	0.305211244497608
MMD_TSS8316	4.07804226289913e-05	-0.28243760133091	0.0017528749644895	209	209	209	19.6364	20.2227321052632
DGKE_TSS34639	0.00144940391246483	0.221018329423903	0.0228975360979688	208	204	22	0.571934	0.636354822009569
TRIM25_TSS488	2.07530146919722e-07	-0.35306864685291	2.44455211309448e-05	209	209	209	21.632	22.1342149282297
VEZF1_TSS12157	0.00308407827074629	-0.205724257623495	0.037864995000302	209	209	208	9.44085	9.27440841626794
MSX2P1_TSS29717	0.000204851336771884	0.256539473820181	0.00589662727390329	99	28	0	0	0.0494584507177033
BZRAP1_TSS31448	1.07453279760895e-05	0.302056975896436	0.000634343813665102	207	198	31	0.429225	0.605680368660287
BZRAP1-AS1_TSS13298,TSS18718,TSS26672,TSS36078	0.00190250666543774	0.215627280831365	0.0275680118340442	208	207	181	1.58285	1.79094934545455
RNFT1_TSS32890	0.00131276633705889	-0.22294963889249	0.0215376253796933	209	209	209	29.4544	29.4447150239234
HEATR6_TSS33192	0.00111861445454366	-0.226037648237098	0.0190746524833826	209	208	208	7.28311	7.19073866315789
CLTC_TSS24803	0.00315276737321596	-0.205262028097752	0.0384117668383094	209	209	209	46.1652	45.7458598086124
TANC2_TSS28700	1.29074951127316e-07	-0.358633555191535	1.67476387094687e-05	209	209	209	13.2463	13.2667429186603
LOC729683_TSS1077	0.000928540478402323	0.229580137193835	0.0167997490484467	194	169	24	0.310016	0.499444153732057
MAP3K3_TSS5724	8.57933490133567e-05	0.270828099330117	0.00300405999195947	209	209	209	6.38947	6.71898885167464
LIMD2_TSS20325	8.2658285348734e-08	0.36376137035325	1.17379357322166e-05	209	208	181	2.42225	3.99351186889952
CCDC47_TSS6252	0.00201631130057197	-0.214459138842592	0.0287445249045845	209	209	209	19.95	19.723319569378
