tracking_ID	pvalue (Lymphocyte)	corr_coef (Lymphocyte)	fdr (Lymphocyte)	fpkm>0_num (Lymphocyte)	fpkm>0.1_num (Lymphocyte)	fpkm>1_num (Lymphocyte)	fpkm_median (Lymphocyte)	fpkm_mean (Lymphocyte)	pvalue (Macrophage)	corr_coef (Macrophage)	fdr (Macrophage)	fpkm>0_num (Macrophage)	fpkm>0.1_num (Macrophage)	fpkm>1_num (Macrophage)	fpkm_median (Macrophage)	fpkm_mean (Macrophage)
S1PR1_TSS31737	1.95603421243231e-05	0.293422832904409	0.00100599980893325	204	198	78	0.762361	1.30523026363636	0.000387694120605171	-0.245522609909496	0.0127704245061711	204	198	78	0.762361	1.30523026363636
KCNA2_TSS22796,TSS2982	0.000952069140080492	0.229107244244757	0.0171138110334722	199	185	27	0.413888	0.527230886124402	1.22306473464233e-06	-0.331276921892792	0.000152501256986305	199	185	27	0.413888	0.527230886124402
FAM212B_TSS23351,TSS35432	5.51255035867439e-09	-0.393135288659101	1.36802232735996e-06	209	209	207	3.45787	3.45379391866029	0.000722802594265998	0.234262074594403	0.0206893136752891	209	209	207	3.45787	3.45379391866029
TSPAN2_TSS12295	4.28730769143306e-06	0.314789367017914	0.000296986102711979	200	176	32	0.3971	0.524469988229665	0.000134468550104922	-0.263551053974581	0.00568124067641638	200	176	32	0.3971	0.524469988229665
CD2_TSS31220	2.47862651345769e-12	0.463852216706276	4.52544087932085e-09	209	208	208	18.5153	25.8968502397129	5.23395650896103e-07	-0.341911170162669	8.20767867027932e-05	209	208	208	18.5153	25.8968502397129
FAM46C_TSS1048	1.68242483666048e-08	0.381380338113923	3.49629766259175e-06	207	203	81	0.723954	1.12093063444976	2.02226922874974e-07	-0.3533747547391	4.23698555377641e-05	207	203	81	0.723954	1.12093063444976
EMBP1_TSS21165	0.000437298747661705	0.243386701801424	0.0100973742447885	195	101	2	0.0968409	0.147706047655502	2.95638184244436e-06	-0.319777465613787	0.0003097052306341	195	101	2	0.0968409	0.147706047655502
MTMR11_TSS16108,TSS8568	0.000544688105746394	-0.239441876653887	0.0118290337051687	208	208	207	4.68875	5.2355034784689	0.000608970905205443	0.237412844451607	0.0181001143514045	208	208	207	4.68875	5.2355034784689
PLEKHO1_TSS19656,TSS20566,TSS8349	3.91483722228487e-05	0.283060424196413	0.00170589415333233	209	209	209	20.9808	22.5116223923445	3.12484583036073e-05	-0.286471146884147	0.00184893945069098	209	209	209	20.9808	22.5116223923445
ADAMTSL4_TSS21358	0.00365540277534739	-0.202132552668176	0.0421047292618113	209	209	209	119.663	120.407426794258	0.000657560789841173	0.236006537126539	0.0190487361952485	209	209	209	119.663	120.407426794258
RORC_TSS17590,TSS30208	3.67272416871371e-09	0.397301593258431	9.57943902821338e-07	203	189	79	0.691258	1.31739192822967	1.65870600879403e-09	-0.405293716666977	3.02844173505602e-06	203	189	79	0.691258	1.31739192822967
THEM4_TSS35153	0.00192040089891337	0.215439456447037	0.0277103488195221	208	206	100	0.97274	1.05548260205742	0.000332360673811378	-0.248227536032732	0.0113575817958458	208	206	100	0.97274	1.05548260205742
C2CD4D_TSS12194	0.0014584593858659	0.22089630323732	0.023012148371678	123	47	1	0.0234088	0.074943866971852	0.000217379936325112	-0.255534748952456	0.00813535659210275	123	47	1	0.0234088	0.074943866971852
LOC100132111_TSS3381	0.00183283223993988	0.216374294505764	0.0268475787307182	152	129	32	0.173622	0.460789436832569	4.9745776431763e-05	-0.279385955532845	0.00263807425595912	152	129	32	0.173622	0.460789436832569
ATP8B2_TSS17424,TSS2604	3.03794251260063e-09	0.399228758555109	8.26094133665796e-07	208	207	147	1.77171	3.02949454641148	2.90553481051117e-08	-0.375450588886055	1.54725781857242e-05	208	207	147	1.77171	3.02949454641148
TRIM46_TSS11562,TSS33792	8.33621767414686e-05	0.271286632426655	0.00293681664984053	204	191	28	0.427888	0.612381230047847	6.01287618614524e-05	-0.276441366810709	0.00310495208472845	204	191	28	0.427888	0.612381230047847
SH2D2A_TSS15501,TSS20285	1.61709684741286e-09	0.40554569423355	4.75110488697933e-07	204	202	154	1.75065	2.99199701722488	1.16173556105445e-07	-0.35985333308341	3.05315404447583e-05	204	202	154	1.75065	2.99199701722488
FCRL3_TSS20163	0.00255012386390865	0.209673965687022	0.0335936219714531	186	114	9	0.127453	0.278101281339713	3.16486260885914e-05	-0.286279758650231	0.00186829222043992	186	114	9	0.127453	0.278101281339713
PYHIN1_TSS13031	1.46462354650108e-06	0.328966510650909	0.000121945415218613	202	198	99	0.885633	1.41337003205742	1.84996246329313e-06	-0.325944050612606	0.000215921874539889	202	198	99	0.885633	1.41337003205742
AIM2_TSS3929	0.000121654635159697	0.265190800124392	0.00390303825450024	205	204	178	2.04105	2.31595973444976	1.13815187522748e-06	-0.332194025213853	0.000144568022556003	205	204	178	2.04105	2.31595973444976
FCRL6_TSS1525,TSS35367	2.4487749878183e-05	0.290111574149823	0.00119452552411496	206	204	147	1.38423	1.78043263875598	0.00106247937982004	-0.227022383253995	0.0273494818001812	206	204	147	1.38423	1.78043263875598
SLAMF8_TSS1241	1.65658997619077e-07	0.355722626350415	2.07158445755714e-05	209	209	209	33.1526	36.0622897607656	0.000158280947792737	-0.260858504550795	0.0064016128267882	209	209	209	33.1526	36.0622897607656
SLAMF6_TSS3563	2.94243395460817e-08	0.375312220873436	5.33415278820847e-06	208	208	197	2.78856	3.63012554066986	2.4189149127779e-06	-0.322433430235501	0.000258838414093012	208	208	197	2.78856	3.63012554066986
SLAMF1_TSS19229	2.61604201090467e-10	0.423087932321328	1.09620737443827e-07	206	205	132	1.45628	2.25817467703349	1.22469204076696e-08	-0.384773052928631	8.46063601460655e-06	206	205	132	1.45628	2.25817467703349
