tracking_ID	pvalue (Lymphocyte)	corr_coef (Lymphocyte)	fdr (Lymphocyte)	fpkm>0_num (Lymphocyte)	fpkm>0.1_num (Lymphocyte)	fpkm>1_num (Lymphocyte)	fpkm_median (Lymphocyte)	fpkm_mean (Lymphocyte)	pvalue (Hilar Lymphadenopathy)	corr_coef (Hilar Lymphadenopathy)	fdr (Hilar Lymphadenopathy)	pval_dir (Hilar Lymphadenopathy)	fpkm>0_num (Hilar Lymphadenopathy)	fpkm>0.1_num (Hilar Lymphadenopathy)	fpkm>1_num (Hilar Lymphadenopathy)	fpkm_median (Hilar Lymphadenopathy)	fpkm_mean (Hilar Lymphadenopathy)
CD6_TSS4778	2.36759316022033e-14	0.499781136201967	5.30211275368229e-10	208	208	208	6.57103	9.70740995215311	0.000361779244785449	NA	0.041843616633307	-0.000361779244785449	202	202	202	6.55119	9.59990866995074
CCND1_TSS13895	0.000174011916555878	0.259280402897868	0.00517176726301933	206	196	35	0.493469	0.649185563301435	0.000418403270503229	NA	0.0449361596526598	-0.000418403270503229	200	190	33	0.491512	0.639306299162562
MYO7A_TSS21748,TSS8185	5.06791539420338e-08	0.369288574168627	8.04602393734364e-06	208	205	105	1.00335	1.57458260555024	0.000342455029130478	NA	0.0403386774175306	-0.000342455029130478	202	199	100	0.972075	1.55207434758621
BIRC3_TSS31006	0.000373440731599665	0.246183305764229	0.0089126564428477	209	208	193	2.55111	3.18610700430622	0.000161670529329493	NA	0.0274494076091555	-0.000161670529329493	203	202	187	2.44378	3.13517267931034
IL10RA_TSS32240	0.000302208445415275	0.249883236665907	0.00766344253299588	209	209	209	46.9306	47.3769301435407	0.000457902161107737	NA	0.0468177485602994	-0.000457902161107737	203	203	203	46.7639	47.2379694581281
ETS1_TSS21595,TSS35401	2.02206559097853e-10	0.425488562533449	9.50272539486207e-08	209	209	208	5.38477	8.25492674162679	2.36445651753722e-05	NA	0.0123729780967011	-2.36445651753722e-05	203	203	202	5.38401	8.11115871428571
CRACR2A_TSS16641	7.24617260124596e-06	0.307589418377733	0.000457331895951724	207	205	117	1.0708	1.35320421578947	9.45700480663283e-05	NA	0.0191849603065351	-9.45700480663283e-05	201	199	113	1.06414	1.34700938472906
CCND2_TSS27869	8.15971691336498e-08	0.363908697286681	1.16519845822638e-05	208	208	166	1.59757	2.15908054066986	9.91964320118725e-06	NA	0.0105648333277311	-9.91964320118725e-06	202	202	160	1.59332	2.13379168965517
VAMP1_TSS28587	2.07917874947444e-05	0.292527052459284	0.00105239382208547	208	208	195	2.21972	2.75329164593301	2.95274701263161e-05	NA	0.0123729780967011	-2.95274701263161e-05	202	202	189	2.20045	2.73616159605911
C1S_TSS7208	0.000311859452523566	0.249337194072255	0.00782280614912155	202	197	104	0.993414	1.45051340813397	2.10184754158886e-05	NA	0.0123729780967011	-2.10184754158886e-05	196	191	100	0.953364	1.42321520837438
CLSTN3_TSS25679	7.00568174451035e-11	0.435175133848599	4.59686735944969e-08	209	208	194	2.75558	3.50686680669856	4.34196753708255e-05	NA	0.0146032937125483	-4.34196753708255e-05	203	202	189	2.75558	3.49478782561576
CLEC2D_TSS13210	7.77323544048959e-07	0.33700512348548	7.27069828149203e-05	209	209	151	1.65955	2.39925194258373	2.54690670322112e-05	NA	0.0123729780967011	-2.54690670322112e-05	203	203	147	1.65249	2.36116892610837
